title,country,year_added,release_year,rating,type1,user_rating_score
Grey's Anatomy,United States,2020,2019,TV-14,Romantic TV Shows,98
Supernatural,United States,2020,2019,TV-14,Classic & Cult TV,95
Breaking Bad,United States,2013,2013,TV-MA,Crime TV Shows,97
The Vampire Diaries,United States,2017,2017,TV-14,TV Dramas,91
The Walking Dead,United States,2019,2018,TV-MA,Classic & Cult TV,98
Once Upon a Time,Egypt,2020,2019,TV-14,International TV Shows,98
Sherlock,United Kingdom,2017,2017,TV-14,British TV Shows,95
Death Note,United States,2017,2017,TV-MA,Horror Movies,77
Naruto,Japan,2019,2006,TV-14,Anime Series,88
Arrow,United States,2020,2019,TV-14,Crime TV Shows,96
Black Mirror,United Kingdom,2019,2019,TV-MA,British TV Shows,80
The Originals,United States,2018,2018,TV-14,TV Dramas,74
The 100,United States,2020,2020,TV-14,TV Action & Adventure,97
Masha and the Bear,Russia,2020,2019,TV-Y,Kids' TV,81
Hunter X Hunter (2011),Japan,2020,2013,TV-MA,Anime Series,57
Marvel's Luke Cage,United States,2018,2018,TV-MA,Crime TV Shows,95
Marvel's Iron Fist,United States,2018,2018,TV-MA,Crime TV Shows,98
Narcos,United States,2017,2017,TV-MA,Crime TV Shows,94
The Flash,United States,2020,2019,TV-14,Crime TV Shows,98
The Do-Over,United States,2016,2016,TV-MA,Action & Adventure,84
Trollhunters,United States,2018,2018,TV-Y7,Kids' TV,83
Santa Clarita Diet,United States,2019,2019,TV-MA,TV Comedies,82
Girlboss,United States,2017,2017,TV-MA,TV Comedies,94
13 Reasons Why,United States,2020,2020,TV-MA,Crime TV Shows,99
Sand Castle,United States,2017,2017,TV-MA,Action & Adventure,89
Sandy Wexler,United States,2017,2017,TV-14,Comedies,92
The Office (U.S.),United States,,2012,TV-14,TV Comedies,97
Grey's Anatomy,United States,2020,2019,TV-14,Romantic TV Shows,98
Gossip Girl,United States,,2012,TV-14,TV Dramas,96
Supernatural,United States,2020,2019,TV-14,Classic & Cult TV,95
Breaking Bad,United States,2013,2013,TV-MA,Crime TV Shows,97
Parks and Recreation,United States,,2015,TV-14,TV Comedies,94
Glee,United States,2015,2015,TV-14,TV Comedies,92
The Vampire Diaries,United States,2017,2017,TV-14,TV Dramas,91
Criminal Minds,United States,2017,2017,TV-14,Crime TV Shows,98
Friends,United States,,2003,TV-14,Classic & Cult TV,98
The Walking Dead,United States,2019,2018,TV-MA,Classic & Cult TV,98
Shameless (U.S.),United States,2020,2019,TV-MA,TV Comedies,97
New Girl,United States,2019,2018,TV-14,Romantic TV Shows,91
American Horror Story,United States,2020,2019,TV-MA,TV Horror,90
Orange Is the New Black,United States,2019,2019,TV-MA,TV Comedies,98
Black Mirror,United Kingdom,2019,2019,TV-MA,British TV Shows,80
Bates Motel,United States,2018,2017,TV-MA,Crime TV Shows,83
The 100,United States,2020,2020,TV-14,TV Action & Adventure,97
Marvel's Iron Fist,United States,2018,2018,TV-MA,Crime TV Shows,98
Grace and Frankie,United States,2020,2020,TV-MA,TV Comedies,90
How to Get Away with Murder,United States,2020,2020,TV-14,Crime TV Shows,95
The Get Down,United States,2017,2017,TV-MA,TV Dramas,80
The Flash,United States,2020,2019,TV-14,Crime TV Shows,98
Stranger Things,United States,2019,2019,TV-14,TV Horror,90
Ingobernable,Mexico,2018,2018,TV-MA,Crime TV Shows,96
Santa Clarita Diet,United States,2019,2019,TV-MA,TV Comedies,82
Kevin Hart: What Now?,United States,2017,2016,R,Stand-Up Comedy,97
Girlboss,United States,2017,2017,TV-MA,TV Comedies,94
Sand Castle,United States,2017,2017,TV-MA,Action & Adventure,89
Sandy Wexler,United States,2017,2017,TV-14,Comedies,92
Chewing Gum,United Kingdom,,2017,TV-MA,British TV Shows,93
Cheer Squad,United States,2017,2016,TV-PG,Reality TV,61
The Office (U.S.),United States,,2012,TV-14,TV Comedies,97
Mad Men,United States,,2014,TV-14,TV Dramas,75
Parks and Recreation,United States,,2015,TV-14,TV Comedies,94
Friends,United States,,2003,TV-14,Classic & Cult TV,98
Shameless (U.S.),United States,2020,2019,TV-MA,TV Comedies,97
Portlandia,United States,2019,2018,TV-14,TV Comedies,62
New Girl,United States,2019,2018,TV-14,Romantic TV Shows,91
Marvel's Iron Fist,United States,2018,2018,TV-MA,Crime TV Shows,98
Grace and Frankie,United States,2020,2020,TV-MA,TV Comedies,90
Better Call Saul,United States,2020,2018,TV-MA,Crime TV Shows,95
The Get Down,United States,2017,2017,TV-MA,TV Dramas,80
Schitt's Creek,Canada,2020,2020,TV-MA,TV Comedies,74
The Great British Baking Show,United Kingdom,2020,2020,TV-14,British TV Shows,94
Santa Clarita Diet,United States,2019,2019,TV-MA,TV Comedies,82
Girlboss,United States,2017,2017,TV-MA,TV Comedies,94
13 Reasons Why,United States,2020,2020,TV-MA,Crime TV Shows,99
Sandy Wexler,United States,2017,2017,TV-14,Comedies,92
Chewing Gum,United Kingdom,,2017,TV-MA,British TV Shows,93
Louis C.K. 2017,United States,2017,2017,,Movies,71
Dave Chappelle,United States,2017,2017,TV-MA,Stand-Up Comedy & Talk Shows,94
Orange Is the New Black,United States,2019,2019,TV-MA,TV Comedies,98
Bates Motel,United States,2018,2017,TV-MA,Crime TV Shows,83
Grace and Frankie,United States,2020,2020,TV-MA,TV Comedies,90
The Get Down,United States,2017,2017,TV-MA,TV Dramas,80
Bordertown,Finland,2020,2019,TV-MA,Crime TV Shows,86
Jane The Virgin,United States,2019,2019,TV-14,Romantic TV Shows,91
Schitt's Creek,Canada,2020,2020,TV-MA,TV Comedies,74
Dope,United States,2019,2019,TV-MA,Crime TV Shows,79
The Great British Baking Show,United Kingdom,2020,2020,TV-14,British TV Shows,94
Haters Back Off,United States,2017,2017,TV-PG,TV Comedies,58
Little Boxes,United States,2017,2016,TV-MA,Comedies,61
Girlboss,United States,2017,2017,TV-MA,TV Comedies,94
13 Reasons Why,United States,2020,2020,TV-MA,Crime TV Shows,99
Greenleaf,United States,2020,2020,TV-14,TV Dramas,62
Dave Chappelle,United States,2017,2017,TV-MA,Stand-Up Comedy & Talk Shows,94
Nurse Jackie,United States,,2015,TV-MA,TV Comedies,82
Parks and Recreation,United States,,2015,TV-14,TV Comedies,94
Gilmore Girls,United States,2017,2006,TV-14,Romantic TV Shows,91
Portlandia,United States,2019,2018,TV-14,TV Comedies,62
New Girl,United States,2019,2018,TV-14,Romantic TV Shows,91
Grace and Frankie,United States,2020,2020,TV-MA,TV Comedies,90
The Get Down,United States,2017,2017,TV-MA,TV Dramas,80
Sense8,United States,2016,2018,TV-MA,Crime TV Shows,81
Bordertown,Finland,2020,2019,TV-MA,Crime TV Shows,86
Girlfriends' Guide to Divorce,United States,2019,2019,TV-MA,TV Comedies,63
Schitt's Creek,Canada,2020,2020,TV-MA,TV Comedies,74
The Great British Baking Show,United Kingdom,2020,2020,TV-14,British TV Shows,94
The Magicians,United States,2021,2020,TV-MA,TV Dramas,89
13 Reasons Why,United States,2020,2020,TV-MA,Crime TV Shows,99
Sandy Wexler,United States,2017,2017,TV-14,Comedies,92
Chewing Gum,United Kingdom,,2017,TV-MA,British TV Shows,93
Cheer Squad,United States,2017,2016,TV-PG,Reality TV,61
The Waterboy,United States,2017,1998,PG-13,Comedies,82
Grease,United States,2019,1978,PG,Classic Movies,86
Coraline,United States,2017,2009,PG,Children & Family Movies,95
The Office (U.S.),United States,,2012,TV-14,TV Comedies,97
Grey's Anatomy,United States,2020,2019,TV-14,Romantic TV Shows,98
Gossip Girl,United States,,2012,TV-14,TV Dramas,96
Glee,United States,2015,2015,TV-14,TV Comedies,92
The Vampire Diaries,United States,2017,2017,TV-14,TV Dramas,91
Criminal Minds,United States,2017,2017,TV-14,Crime TV Shows,98
Friends,United States,,2003,TV-14,Classic & Cult TV,98
That '70s Show,United States,,2005,TV-14,TV Comedies,89
Gilmore Girls,United States,2017,2006,TV-14,Romantic TV Shows,91
Heartland,Canada,2019,2017,TV-14,TV Dramas,85
Shameless (U.S.),United States,2020,2019,TV-MA,TV Comedies,97
New Girl,United States,2019,2018,TV-14,Romantic TV Shows,91
Hart of Dixie,United States,,2014,TV-PG,TV Comedies,81
The Night Shift,United States,2018,2017,TV-14,TV Dramas,93
Reign,United States,2017,2017,TV-14,TV Dramas,79
Grace and Frankie,United States,2020,2020,TV-MA,TV Comedies,90
How to Get Away with Murder,United States,2020,2020,TV-14,Crime TV Shows,95
Fuller House,United States,2019,2020,TV-PG,TV Comedies,90
Gilmore Girls: A Year in the Life,United States,2016,2016,TV-14,TV Comedies,77
13 Reasons Why,United States,2020,2020,TV-MA,Crime TV Shows,99
Cheer Squad,United States,2017,2016,TV-PG,Reality TV,61
Dave Chappelle,United States,2017,2017,TV-MA,Stand-Up Comedy & Talk Shows,94
The Waterboy,United States,2017,1998,PG-13,Comedies,82
Grease,United States,2019,1978,PG,Classic Movies,86
Blow,United States,2019,2001,R,Dramas,78
The Office (U.S.),United States,,2012,TV-14,TV Comedies,97
Nurse Jackie,United States,,2015,TV-MA,TV Comedies,82
NCIS,United States,2018,2017,TV-14,Crime TV Shows,97
Gossip Girl,United States,,2012,TV-14,TV Dramas,96
Supernatural,United States,2020,2019,TV-14,Classic & Cult TV,95
Parks and Recreation,United States,,2015,TV-14,TV Comedies,94
Glee,United States,2015,2015,TV-14,TV Comedies,92
The Vampire Diaries,United States,2017,2017,TV-14,TV Dramas,91
Criminal Minds,United States,2017,2017,TV-14,Crime TV Shows,98
Friends,United States,,2003,TV-14,Classic & Cult TV,98
Gilmore Girls,United States,2017,2006,TV-14,Romantic TV Shows,91
Private Practice,United States,2019,2012,TV-14,TV Comedies,88
Shameless (U.S.),United States,2020,2019,TV-MA,TV Comedies,97
New Girl,United States,2019,2018,TV-14,Romantic TV Shows,91
Revenge,,2019,2017,TV-MA,Crime TV Shows,84
Scandal,United States,,2018,TV-14,Crime TV Shows,92
Orange Is the New Black,United States,2019,2019,TV-MA,TV Comedies,98
The Night Shift,United States,2018,2017,TV-14,TV Dramas,93
The Originals,United States,2018,2018,TV-14,TV Dramas,74
How to Get Away with Murder,United States,2020,2020,TV-14,Crime TV Shows,95
Skin Wars,United States,2016,2016,TV-14,Reality TV,69
Girlboss,United States,2017,2017,TV-MA,TV Comedies,94
13 Reasons Why,United States,2020,2020,TV-MA,Crime TV Shows,99
Cheer Squad,United States,2017,2016,TV-PG,Reality TV,61
Weeds,United States,2014,2012,TV-MA,TV Comedies,85
Grey's Anatomy,United States,2020,2019,TV-14,Romantic TV Shows,98
Gossip Girl,United States,,2012,TV-14,TV Dramas,96
Glee,United States,2015,2015,TV-14,TV Comedies,92
The Vampire Diaries,United States,2017,2017,TV-14,TV Dramas,91
Gilmore Girls,United States,2017,2006,TV-14,Romantic TV Shows,91
Charmed,United States,2020,2019,TV-14,TV Dramas,90
House of Cards,United States,2018,2018,TV-MA,TV Dramas,91
Shameless (U.S.),United States,2020,2019,TV-MA,TV Comedies,97
Hart of Dixie,United States,,2014,TV-PG,TV Comedies,81
Once Upon a Time,Egypt,2020,2019,TV-14,International TV Shows,98
Scandal,United States,,2018,TV-14,Crime TV Shows,92
Bates Motel,United States,2018,2017,TV-MA,Crime TV Shows,83
The Blacklist,United States,2020,2019,TV-14,Crime TV Shows,96
The Fosters,United States,,2017,TV-14,TV Dramas,73
Reign,United States,2017,2017,TV-14,TV Dramas,79
The Originals,United States,2018,2018,TV-14,TV Dramas,74
The 100,United States,2020,2020,TV-14,TV Action & Adventure,97
Bitten,Canada,,2016,TV-MA,International TV Shows,56
Marvel's Jessica Jones,United States,2019,2019,TV-MA,Crime TV Shows,83
Grace and Frankie,United States,2020,2020,TV-MA,TV Comedies,90
How to Get Away with Murder,United States,2020,2020,TV-14,Crime TV Shows,95
The Crown,United Kingdom,2020,2020,TV-MA,British TV Shows,84
Jane The Virgin,United States,2019,2019,TV-14,Romantic TV Shows,91
Quantico,United States,2018,2018,TV-14,Crime TV Shows,88
Ingobernable,Mexico,2018,2018,TV-MA,Crime TV Shows,96
Girlboss,United States,2017,2017,TV-MA,TV Comedies,94
13 Reasons Why,United States,2020,2020,TV-MA,Crime TV Shows,99
Greenleaf,United States,2020,2020,TV-14,TV Dramas,62
Dexter,United States,,2013,TV-MA,Crime TV Shows,95
